ΗΜΕΡΑ,ΕΝΑΡΞΗ,ΛΗΞΗ,ΜΑΘΗΜΑ,ΑΙΘΟΥΣΑ,ΔΙΔΑΣΚΩΝ
Δευτέρα,16:00,18:00,Διοίκηση Ασφάλειας,Αιθ.2,Α. ΤΣΩΧΟΥ
Δευτέρα,18:00,20:00,Ηλεκτρονική,Αιθ.2,Π.
Τρίτη,9:00,11:00,Ηλεκτρονική,Αιθ.2,Π.
Τρίτη,11:00,13:00,Διοίκηση Ασφάλειας,Αιθ.2,Α. ΤΣΩΧΟΥ
Τρίτη,13:00,15:00,Παράλληλος,Εργ.Αρε,Μ. ΣΤΕΦΑΝΙΔΑΚΗΣ
Τρίτη,15:00,17:00,Αποθήκες,Εργ.Γαλ,Κ. ΚΕΡΜΑΝΙΔΟ
Τρίτη,17:00,19:00,Επεξεργασία,Αιθ.1,Ι. ΚΑΡΥΔΗΣ
Τετάρτη,11:00,13:00,Στρατηγική και,Αιθ.2,Α. ΠΑΤΕΛΗ
Τετάρτη,13:00,15:00,Κοινωνικός και,Αιθ.2,Φ. ΜΥΛΩΝΑΣ
Τετάρτη,15:00,17:00,Παράλληλος,Εργ.Αρε,Μ. ΣΤΕΦΑΝΙΔΑΚΗΣ
Τετάρτη,17:00,19:00,Επεξεργασία,Εργ.Γαλ,Ι. ΚΑΡΥΔΗΣ
Πέμπτη,11:00,13:00,Αποθήκες,Αιθ.1,Θ. ΕΞΑΡΧΟΣ
Πέμπτη,13:00,15:00,Κοινωνικός και,Εργ.Αρε,Μ. ΣΤΕΦΑΝΙΔΑΚΗΣ
Πέμπτη,15:00,17:00,Στρατηγική και,Αιθ.1,Α. ΠΑΤΕΛΗ
Πέμπτη,17:00,19:00,Αποθήκες,Εργ.Αρε,Ι. ΚΑΡΥΔΗΣ
Πέμπτη,19:00,21:00,Έξυπνα,Αιθ.2,Κ.ΧΩΡ
Παρασκευή,19:00,21:00,Έξυπνα,Αιθ.2,Κ.ΧΩΡ
